# device: NVIDIA GeForce RTX 5090 (SMs=170, L2=98304 KB, GMem=31.8 GB)
# queries per contains trial: 1000000, warmup=5, iters=30
n_bitmaps,universe,selectivity,upload_ms,promote_ms,decompress_ms,roaring_raw_MB,roaring_bmp_MB,bitset_MB,compression_x,contains_roaring_gqs_med,contains_roaring_gqs_stdev,contains_bitset_gqs_med,contains_bitset_gqs_stdev,contains_speedup,and_count,and_roaring_ms_med,and_roaring_ms_stdev,and_bitset_ms_med,and_bitset_ms_stdev,and_speedup
1,1000000,0.0010,0.703,0.058,0.025,0.00,0.13,0.12,59.80x,87.291,26.855,75.483,49.447,1.16x,1,0.1999,0.2242,0.0062,0.0004,0.03x
4,1000000,0.0010,0.661,0.019,0.004,0.01,0.50,0.50,59.99x,78.125,5.809,66.068,3.656,1.18x,4,0.1454,0.0057,0.0071,0.0014,0.05x
16,1000000,0.0010,0.601,0.038,0.009,0.03,2.00,2.00,60.02x,68.083,3.331,63.387,22.813,1.07x,8,0.1542,0.0320,0.0078,0.1000,0.05x
64,1000000,0.0010,0.729,0.066,0.005,0.13,8.01,8.00,60.04x,42.230,3.610,68.681,2.908,0.61x,8,0.1737,0.0367,0.0080,0.0013,0.05x
1,1000000,0.0100,0.872,0.058,0.009,0.02,0.13,0.12,6.53x,65.928,28.743,73.877,9.934,0.89x,1,0.1850,0.0555,0.0062,0.0009,0.03x
4,1000000,0.0100,1.079,0.063,0.061,0.08,0.50,0.50,6.52x,52.170,2.049,67.641,19.367,0.77x,4,0.2096,0.0200,0.0059,0.0009,0.03x
16,1000000,0.0100,0.793,0.042,0.009,0.31,2.00,2.00,6.53x,14.909,1.868,68.531,3.274,0.22x,8,0.1671,0.0296,0.0074,0.0065,0.04x
64,1000000,0.0100,1.511,0.054,0.009,1.23,8.01,8.00,6.53x,11.278,0.115,65.104,45.886,0.17x,8,0.1488,0.0370,0.0059,0.0006,0.04x
1,1000000,0.1000,0.803,0.091,0.006,0.12,0.13,0.12,1.04x,69.444,2.349,76.970,25.818,0.90x,1,0.1907,0.0065,0.0055,0.0089,0.03x
4,1000000,0.1000,0.770,0.055,0.006,0.48,0.50,0.50,1.04x,57.763,2.985,68.231,20.659,0.85x,4,0.1709,0.0977,0.0060,0.0011,0.04x
16,1000000,0.1000,1.241,0.116,0.006,1.93,2.00,2.00,1.04x,58.521,17.212,69.754,9.674,0.84x,8,0.1797,0.0267,0.0066,0.0142,0.04x
64,1000000,0.1000,6.979,0.088,0.009,7.71,8.01,8.00,1.04x,51.230,16.600,69.754,18.535,0.73x,8,0.1891,0.0115,0.0062,0.0066,0.03x
1,10000000,0.0010,0.690,0.114,0.054,0.02,1.20,1.20,57.78x,70.701,26.569,68.681,4.997,1.03x,1,0.1438,0.0525,0.0062,0.0145,0.04x
4,10000000,0.0010,0.743,0.040,0.004,0.08,4.79,4.78,57.80x,57.870,25.328,64.037,21.709,0.90x,4,0.1868,0.0165,0.0070,0.0082,0.04x
16,10000000,0.0010,0.732,0.060,0.006,0.33,19.15,19.12,57.81x,15.688,0.820,68.231,4.188,0.23x,8,0.1318,0.0143,0.0073,0.0141,0.06x
64,10000000,0.0010,1.583,1.135,0.033,1.32,76.60,76.50,57.81x,12.450,0.318,70.225,11.019,0.18x,8,0.1826,0.0267,0.0082,0.0113,0.05x
1,10000000,0.0100,0.778,0.051,0.025,0.19,1.20,1.20,6.24x,19.804,0.418,61.275,19.402,0.32x,1,0.2729,0.0176,0.0059,0.0008,0.02x
4,10000000,0.0100,0.913,0.059,0.008,0.77,4.79,4.78,6.24x,12.323,0.072,69.444,17.088,0.18x,4,0.1412,0.0587,0.0066,0.0094,0.05x
16,10000000,0.0100,1.625,0.129,0.015,3.06,19.15,19.12,6.25x,10.090,0.073,74.940,3.645,0.13x,8,0.2516,0.0576,0.0067,0.0010,0.03x
64,10000000,0.0100,9.922,1.222,0.066,12.25,76.60,76.50,6.25x,8.870,0.077,75.301,3.513,0.12x,8,0.1706,0.0640,0.0074,0.0010,0.04x
1,10000000,0.1000,0.962,0.119,0.008,1.20,1.20,1.20,1.00x,58.741,10.140,67.935,14.639,0.86x,1,0.2504,0.0129,0.0050,0.0008,0.02x
4,10000000,0.1000,1.686,0.110,0.043,4.78,4.79,4.78,1.00x,59.186,2.156,74.405,21.500,0.80x,4,0.1745,0.0118,0.0087,0.0020,0.05x
16,10000000,0.1000,14.090,0.716,0.013,19.14,19.15,19.12,1.00x,49.525,2.695,65.789,24.985,0.75x,8,0.2808,0.0118,0.0079,0.0008,0.03x
64,10000000,0.1000,87.603,6.710,4.284,76.55,76.60,76.50,1.00x,29.990,1.444,60.328,3.503,0.50x,8,0.3477,0.0404,0.0078,0.0034,0.02x
